fname	sample	platform	flowcell	dataset
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/fastq/igvfb01_13H_lig-ss_1_t1.fastq	cortex	ONT	1	13H
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/fastq/igvfb01_13H_lig-ss_2_t1.fastq	cortex	ONT	2	13H
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/fastq/igvfb01_13H_lig-ss_3_t1.fastq	cortex	ONT	3	13H
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/fastq/igvfb01_13H_lig-ss_4_t1.fastq	cortex	ONT	4	13H
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/fastq/igvfb01_13H_lig-ss_5_t1.fastq	cortex	ONT	5	13H
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/fastq/igvfb01_13H_lig-ss_7_t1.fastq	cortex	ONT	7	13H
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/fastq/igvfb01_13H_lig-ss_6_t1.fastq	cortex	ONT	6	13H
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/fastq/igvfb01_13H_lig-ss_8_t1.fastq	cortex	ONT	8	13H
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/fastq/igvfb01_13H_lig-ss_10_t1.fastq	cortex	ONT	10	13H
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/fastq/igvfb01_13H_lig-ss_9_t1.fastq	cortex	ONT	9	13H
/share/crsp/lab/seyedam/share/igvf_nanopore/igvfb01/igvfb01_13G-gc_lig-ss_1_t2.fastq.gz	cortex	ONT	1	13G